GeneSymbol,BladderCancer,LungCancer,ProstateCancer,ColonCancer,PancreaticCancer,BladderArticles,LungArticles,ProstateArticles,ColonArticles,PancArticles
UBE2Q2,0,0,0,0,0,NA,NA,NA,NA,NA
ATRX,0,3,1,0,15,NA,"25803170,23708087,26087898",26466568,NA,"23954140,26678657,26087898,23361940,25612765,26026117,22586144,22251937,22829774,21719641,24430597,25310565,24148618,21252315,22575867"
PSMA2P1,0,0,0,0,0,NA,NA,NA,NA,NA
SHQ1P1,0,0,0,0,0,NA,NA,NA,NA,NA
CPHL1P,0,0,0,0,0,NA,NA,NA,NA,NA
SSXP10,0,0,0,0,0,NA,NA,NA,NA,NA
TCOF1,0,0,0,0,0,NA,NA,NA,NA,NA
NSRP1,0,0,0,0,0,NA,NA,NA,NA,NA
OPA6,0,0,0,0,0,NA,NA,NA,NA,NA
SPPL3,0,0,0,0,0,NA,NA,NA,NA,NA
OPA4,0,0,0,0,0,NA,NA,NA,NA,NA
OPA5,0,0,0,0,0,NA,NA,NA,NA,NA
OPA2,0,0,0,0,0,NA,NA,NA,NA,NA
OPA3,0,0,0,0,0,NA,NA,NA,NA,NA
OPA1,0,0,1,1,0,NA,NA,25483192,18056990,NA
OPA8,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-1209P,0,0,0,0,0,NA,NA,NA,NA,NA
RNU4ATAC18P,0,0,0,0,0,NA,NA,NA,NA,NA
RNF219-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
ITGA8,0,0,0,0,0,NA,NA,NA,NA,NA
ITGA9,0,0,1,1,0,NA,NA,26491211,19188145,NA
ITGA1,0,0,1,1,0,NA,NA,24264315,22020760,NA
ITGA2,0,1,2,1,1,NA,26952511,"24175814,25662931",21558389,24500968
ITGA3,0,0,3,1,0,NA,NA,"24371517,25886373,26509963",25096929,NA
ITGA4,2,0,0,2,0,"18094410,25726332",NA,NA,"25487679,25902909",NA
ITGA5,2,1,2,2,2,"27050274,23765955",24500664,"25170626,23984644","15141079,23000157","25791160,25587357"
ITGA6,1,0,8,1,1,16184550,NA,"23620269,25450398,24739392,25862843,24864010,25371445,24324078,25256932",21558389,26239765
ITGA7,0,0,1,0,0,NA,NA,23830872,NA,NA
TRHR,0,0,0,0,0,NA,NA,NA,NA,NA
CA15P1,0,0,0,0,0,NA,NA,NA,NA,NA
CA15P2,0,0,0,0,0,NA,NA,NA,NA,NA
CA15P3,0,0,0,0,0,NA,NA,NA,NA,NA
UFSP1,0,0,0,0,0,NA,NA,NA,NA,NA
UFSP2,0,0,0,0,0,NA,NA,NA,NA,NA
C9orf40,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF404,0,0,0,0,0,NA,NA,NA,NA,NA
TEX28P2,0,0,0,0,0,NA,NA,NA,NA,NA
TEX28P1,0,0,0,0,0,NA,NA,NA,NA,NA
